epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1480.04,0.66551,0.31917,0.77135,0.98031,0.98665,0.99413,0.86522,0.60497,0.30652,0.76625,0.000990365,0.000990365,0.000990365
43,1515.62,0.64766,0.30586,0.77327,0.98234,0.98849,0.99442,0.84999,0.65751,0.31087,0.76919,0.000973861,0.000973861,0.000973861
44,1551.53,0.63352,0.30208,0.76947,0.9808,0.99265,0.99448,0.86504,0.63483,0.30064,0.76786,0.000957358,0.000957358,0.000957358
45,1586.98,0.62481,0.29186,0.77499,0.978,0.99246,0.99438,0.849,0.66703,0.31293,0.7666,0.000940855,0.000940855,0.000940855
46,1622.9,0.63353,0.29818,0.77365,0.97868,0.98599,0.99421,0.88394,0.57478,0.28333,0.76694,0.000924352,0.000924352,0.000924352
47,1658.83,0.63502,0.29221,0.7756,0.98522,0.99143,0.99456,0.87446,0.58844,0.29425,0.76623,0.000907848,0.000907848,0.000907848
48,1694.24,0.62493,0.29428,0.77121,0.98868,0.98733,0.99465,0.87538,0.57658,0.28491,0.76739,0.000891345,0.000891345,0.000891345
49,1729.58,0.63242,0.29263,0.77562,0.98224,0.99206,0.99419,0.87942,0.57145,0.28859,0.76694,0.000874842,0.000874842,0.000874842
50,1765.16,0.6231,0.29527,0.77272,0.98122,0.99067,0.9942,0.85359,0.65407,0.30399,0.76801,0.000858338,0.000858338,0.000858338
51,1801.11,0.62197,0.28912,0.77437,0.98613,0.99127,0.99445,0.87398,0.61072,0.30135,0.7675,0.000841835,0.000841835,0.000841835
52,1836.73,0.62158,0.28913,0.77344,0.98385,0.99365,0.99465,0.86435,0.61926,0.29614,0.76656,0.000825332,0.000825332,0.000825332
53,1872.54,0.61468,0.28987,0.77258,0.9842,0.98273,0.99438,0.86464,0.6452,0.29126,0.76845,0.000808828,0.000808828,0.000808828
54,1907.94,0.61822,0.28432,0.77245,0.98997,0.99921,0.99473,0.87664,0.58645,0.28384,0.7659,0.000792325,0.000792325,0.000792325
55,1943.64,0.61179,0.28945,0.77175,0.98783,0.99365,0.99467,0.85993,0.63308,0.29207,0.76673,0.000775822,0.000775822,0.000775822
56,1979.46,0.60137,0.2855,0.77093,0.99131,0.99141,0.99484,0.8694,0.60344,0.28519,0.76653,0.000759318,0.000759318,0.000759318
57,2014.8,0.5939,0.27868,0.77214,0.98772,0.99301,0.99475,0.86949,0.61414,0.28181,0.76662,0.000742815,0.000742815,0.000742815
58,2050.56,0.59236,0.26857,0.77375,0.99149,0.99771,0.99481,0.88388,0.57364,0.27456,0.76509,0.000726312,0.000726312,0.000726312
59,2086.05,0.59556,0.273,0.77329,0.99149,0.99109,0.99481,0.88377,0.57308,0.26827,0.76603,0.000709809,0.000709809,0.000709809
60,2121.6,0.58908,0.27051,0.77151,0.98688,0.99522,0.99457,0.8832,0.57743,0.2766,0.76609,0.000693305,0.000693305,0.000693305
61,2157.16,0.60061,0.27705,0.77046,0.9913,0.99654,0.99481,0.88465,0.57219,0.27525,0.7656,0.000676802,0.000676802,0.000676802
62,2193.08,0.59592,0.275,0.77092,0.98648,0.9907,0.99452,0.87884,0.58881,0.27963,0.76517,0.000660299,0.000660299,0.000660299
63,2228.67,0.59417,0.27438,0.76704,0.99107,0.99127,0.99481,0.88361,0.57576,0.27113,0.76433,0.000643795,0.000643795,0.000643795
64,2264.15,0.59974,0.27952,0.76806,0.98987,0.99106,0.99475,0.87216,0.60308,0.28265,0.76632,0.000627292,0.000627292,0.000627292
65,2299.64,0.5951,0.27668,0.76862,0.98916,0.99206,0.99474,0.87133,0.6091,0.27579,0.76441,0.000610789,0.000610789,0.000610789
66,2335.49,0.5849,0.27392,0.77175,0.99088,0.98557,0.99474,0.88495,0.5759,0.27834,0.76628,0.000594286,0.000594286,0.000594286
67,2372.03,0.58755,0.27097,0.77055,0.98987,0.99008,0.99476,0.86364,0.62389,0.28982,0.76793,0.000577782,0.000577782,0.000577782
68,2407.59,0.59779,0.27914,0.77332,0.98863,0.99286,0.99464,0.87632,0.59711,0.29081,0.7665,0.000561279,0.000561279,0.000561279
69,2443.18,0.57943,0.27388,0.76994,0.99114,0.98979,0.99481,0.88179,0.57348,0.26807,0.76496,0.000544776,0.000544776,0.000544776
70,2478.88,0.58526,0.26684,0.77083,0.99185,0.987,0.99477,0.87742,0.57951,0.266,0.76513,0.000528272,0.000528272,0.000528272
71,2514.53,0.58027,0.2656,0.77078,0.98917,0.98979,0.99473,0.86956,0.61241,0.27495,0.76555,0.000511769,0.000511769,0.000511769
72,2550.16,0.5842,0.27341,0.76785,0.98786,0.99168,0.99479,0.87249,0.60599,0.28229,0.76468,0.000495266,0.000495266,0.000495266
73,2585.9,0.59029,0.27889,0.77039,0.99043,0.99394,0.9948,0.88693,0.55652,0.27252,0.764,0.000478762,0.000478762,0.000478762
74,2621.99,0.57974,0.27054,0.76971,0.98839,0.99039,0.99488,0.88508,0.56424,0.26789,0.76465,0.000462259,0.000462259,0.000462259
75,2657.63,0.57759,0.26827,0.77012,0.98946,0.99539,0.99488,0.87979,0.58908,0.27538,0.76504,0.000445756,0.000445756,0.000445756
76,2693.44,0.5694,0.26515,0.77095,0.99143,0.99258,0.99487,0.88752,0.56278,0.26927,0.7648,0.000429253,0.000429253,0.000429253
77,2729.49,0.58859,0.26812,0.76757,0.99104,0.99192,0.99487,0.87253,0.60116,0.27569,0.76445,0.000412749,0.000412749,0.000412749
78,2765.36,0.5906,0.27202,0.76891,0.98923,0.98929,0.99472,0.88783,0.56695,0.26764,0.76364,0.000396246,0.000396246,0.000396246
79,2801.74,0.56853,0.26427,0.76816,0.98865,0.99008,0.99469,0.88454,0.56885,0.26852,0.76386,0.000379743,0.000379743,0.000379743
80,2837.43,0.57657,0.26421,0.76728,0.98965,0.99087,0.99469,0.88267,0.58565,0.26841,0.76483,0.000363239,0.000363239,0.000363239
81,2873.62,0.57501,0.26613,0.77269,0.99182,0.99008,0.99483,0.89329,0.55423,0.26699,0.76426,0.000346736,0.000346736,0.000346736
82,2910.12,0.57916,0.26843,0.77117,0.99161,0.98967,0.99494,0.88847,0.56135,0.26324,0.76468,0.000330233,0.000330233,0.000330233
83,2945.75,0.5694,0.26114,0.76755,0.99189,0.9937,0.99493,0.89394,0.55137,0.2667,0.76498,0.000313729,0.000313729,0.000313729
84,2981.75,0.57453,0.26435,0.76803,0.98278,0.99181,0.99471,0.88266,0.58757,0.26916,0.76421,0.000297226,0.000297226,0.000297226
85,3017.42,0.56344,0.25507,0.77078,0.98692,0.9924,0.99478,0.89621,0.5425,0.26041,0.76381,0.000280723,0.000280723,0.000280723
86,3053.75,0.58319,0.26618,0.76681,0.9873,0.99184,0.99476,0.87455,0.61676,0.2806,0.76515,0.00026422,0.00026422,0.00026422
87,3089.43,0.56672,0.25928,0.77058,0.98891,0.99157,0.99483,0.8864,0.55735,0.25898,0.76332,0.000247716,0.000247716,0.000247716
88,3125.4,0.56034,0.25606,0.76822,0.98835,0.99192,0.99482,0.88442,0.58776,0.26268,0.76442,0.000231213,0.000231213,0.000231213
89,3161.51,0.56036,0.25426,0.77041,0.99101,0.99135,0.99488,0.89259,0.55402,0.2562,0.7645,0.00021471,0.00021471,0.00021471
90,3197.57,0.55564,0.25295,0.76676,0.99061,0.99177,0.99488,0.88564,0.5836,0.25951,0.76357,0.000198206,0.000198206,0.000198206
91,3244.56,0.56067,0.26159,0.77126,0.99121,0.99257,0.99481,0.88572,0.58893,0.26642,0.76422,0.000181703,0.000181703,0.000181703
92,3279.56,0.57258,0.26321,0.77074,0.98979,0.99286,0.99487,0.88902,0.57726,0.274,0.7641,0.0001652,0.0001652,0.0001652
93,3314.8,0.56635,0.25458,0.7696,0.98554,0.99206,0.99481,0.88936,0.57202,0.26805,0.76368,0.000148696,0.000148696,0.000148696
94,3349.99,0.55624,0.25483,0.77155,0.98907,0.99062,0.99484,0.88267,0.58834,0.26465,0.76415,0.000132193,0.000132193,0.000132193
95,3385.16,0.55103,0.25348,0.76972,0.99186,0.99247,0.99492,0.8879,0.57157,0.26252,0.76298,0.00011569,0.00011569,0.00011569
96,3420.38,0.55799,0.25535,0.76683,0.99188,0.99094,0.99492,0.88993,0.57508,0.26072,0.76302,9.91865e-05,9.91865e-05,9.91865e-05
97,3455.6,0.55049,0.25192,0.76896,0.99028,0.99054,0.99488,0.88943,0.57205,0.25985,0.76303,8.26832e-05,8.26832e-05,8.26832e-05
98,3490.74,0.5503,0.25141,0.76823,0.9911,0.99244,0.9949,0.89049,0.56851,0.2591,0.76341,6.61799e-05,6.61799e-05,6.61799e-05
99,3526.15,0.54808,0.24839,0.77185,0.99186,0.99267,0.99492,0.89135,0.56768,0.25765,0.76375,4.96766e-05,4.96766e-05,4.96766e-05
100,3561.47,0.55143,0.25069,0.769,0.99177,0.9925,0.99493,0.89201,0.56187,0.25716,0.76329,3.31733e-05,3.31733e-05,3.31733e-05
